prompt_variant,schema_variant,exemplar_strategy,k,runs,va_mean,va_std,em_mean,em_std,ex_mean,ex_std,ts_mean,ts_std
default,full,all,0,2,0.815,0.0,0.12,0.0,0.545,0.0,,
default,full,all,3,2,0.8474999999999999,0.0035355339059327017,0.3775,0.0035355339059327407,0.5974999999999999,0.0035355339059327017,,
