comparison,left_condition_id,right_condition_id,metric,pair_key,matched_seeds,n_pairs,left_mean,right_mean,mean_diff_right_minus_left,ci_95_lower,ci_95_upper,cohens_d,diff_shapiro_w,diff_shapiro_p,diff_shapiro_decision_alpha_0_05,wilcoxon_stat,wilcoxon_p,wilcoxon_decision_alpha_0_05,wilcoxon_p_bh_fdr,wilcoxon_decision_bh_fdr_alpha_0_05,t_stat,p_value,decision_alpha_0_05
Llama QLoRA k0->k3,llama_qlora_k0,llama_qlora_k3,ex,seed+example_id,"7,17,27",600,0.44,0.465,0.025000000000000022,-0.0005072325106622241,0.05050723251066227,0.0785828081195803,0.42594601042742564,8.082679262428288e-40,reject_normality,713.0,0.05478806021494459,fail_to_reject_H0,0.05478806021494459,fail_to_reject_H0,1.9248778244801041,0.0547178930915606,fail_to_reject_H0
Llama QLoRA k0->k3,llama_qlora_k0,llama_qlora_k3,ts,seed+example_id,"7,17,27",0,,,,,,,,,insufficient_n,,,insufficient_n,,fail_to_reject_H0,,,insufficient_n
Llama QLoRA k0->k3,llama_qlora_k0,llama_qlora_k3,va,seed+example_id,"7,17,27",600,0.815,0.855,0.040000000000000036,0.009087791014284148,0.07091220898571593,0.10374826122445596,0.5290311725632645,4.108873953675256e-37,reject_normality,1501.5,0.011412036386001646,reject_H0,0.01521604851466886,reject_H0,2.5413030170089437,0.011295029168587394,reject_H0
Llama QLoRA->ReAct @k3,llama_qlora_k3,llama_react_k3,em,seed+example_id,"7,17,27",600,0.285,0.4583333333333333,0.17333333333333334,0.12938508747721594,0.21728157918945074,0.31622151855519365,0.7212907763249574,2.023495652244443e-30,reject_normality,4676.5,1.4577448105330492e-13,reject_H0,3.498587545279318e-13,reject_H0,7.745813661482673,4.0747599256226156e-14,reject_H0
Llama QLoRA->ReAct @k3,llama_qlora_k3,llama_react_k3,ex,seed+example_id,"7,17,27",600,0.465,0.6283333333333333,0.16333333333333327,0.12429678206375759,0.20236988460290894,0.33547044073655485,0.6557732142015371,4.973182143572094e-33,reject_normality,2385.0,6.366729286475977e-15,reject_H0,7.640075143771172e-14,reject_H0,8.217314035911434,1.2896984507520707e-15,reject_H0
Llama QLoRA->ReAct @k3,llama_qlora_k3,llama_react_k3,ts,seed+example_id,"7,17,27",0,,,,,,,,,insufficient_n,,,insufficient_n,,fail_to_reject_H0,,,insufficient_n
Llama QLoRA->ReAct @k3,llama_qlora_k3,llama_react_k3,va,seed+example_id,"7,17,27",600,0.855,0.925,0.07000000000000006,0.04124244444043161,0.09875755555956851,0.1951627589106366,0.4817369911224497,2.0788241716995197e-38,reject_normality,769.5,2.6563968243191654e-06,reject_H0,1.0625587297276662e-05,reject_H0,4.780491761248704,2.2030695628751325e-06,reject_H0
Qwen Base k0->k3,qwen_base_k0,qwen_base_k3,em,seed+example_id,"7,17,27",600,0.021666666666666667,0.3566666666666667,0.335,0.2954619658876525,0.37453803411234754,0.6793297148135216,0.6430984373398576,1.731415503261777e-33,reject_normality,642.0,3.7414612799029876e-43,reject_H0,4.489753535883585e-42,reject_H0,16.64011168403542,2.1715029021385503e-51,reject_H0
Qwen Base k0->k3,qwen_base_k0,qwen_base_k3,ex,seed+example_id,"7,17,27",600,0.49,0.61,0.12,0.07969647565567428,0.1603035243443257,0.23872016046109476,0.6772657809367721,3.202139128735326e-32,reject_normality,3542.0,1.2548647497615055e-08,reject_H0,3.764594249284517e-08,reject_H0,5.8474258444500595,8.21095901519581e-09,reject_H0
Qwen Base k0->k3,qwen_base_k0,qwen_base_k3,ts,seed+example_id,"7,17,27",0,,,,,,,,,insufficient_n,,,insufficient_n,,fail_to_reject_H0,,,insufficient_n
Qwen Base k0->k3,qwen_base_k0,qwen_base_k3,va,seed+example_id,"7,17,27",600,0.825,0.8916666666666667,0.06666666666666676,0.03785815444600889,0.09547517888732464,0.1855405275305693,0.4836891562297436,2.3408059886804252e-38,reject_normality,810.0,7.74421643104407e-06,reject_H0,2.323264929313221e-05,reject_H0,4.544796190567086,6.6542842406592716e-06,reject_H0
Qwen Base->QLoRA @k0,qwen_base_k0,qwen_qlora_k0,em,seed+example_id,"7,17,27",600,0.021666666666666667,0.01,-0.011666666666666667,-0.020283311785851528,-0.0030500215474818064,-0.10855740652541092,0.08086386111696364,1.1821724348317047e-46,reject_normality,0.0,0.008150971593502702,reject_H0,0.010867962124670269,reject_H0,-2.6591025378713766,0.008044417961690456,reject_H0
Qwen Base->QLoRA @k0,qwen_base_k0,qwen_qlora_k0,ex,seed+example_id,"7,17,27",600,0.49,0.435,-0.05499999999999999,-0.08558851201353315,-0.02441148798646684,-0.14416346587085277,0.5210608241347274,2.444182263856317e-37,reject_normality,1260.0,0.0004687734290662906,reject_H0,0.0007031601435994359,reject_H0,-3.531269309347267,0.0004453642872678916,reject_H0
