prompt_variant,schema_variant,exemplar_strategy,k,runs,va_mean,va_std,em_mean,em_std,ex_mean,ex_std,ts_mean,ts_std
default,full,all,0,1,0.895,,0.0,,0.46,,,
default,full,all,3,3,0.9249999999999999,0.0259807621135331,0.3416666666666666,0.015275252316519477,0.5583333333333333,0.018929694486000855,0.5837408664633795,0.0022919952001659036
default,full,all,5,3,0.9416666666666668,0.010408329997330611,0.41500000000000004,0.022912878474779165,0.5866666666666666,0.022546248764114516,,
